iter	Logloss
0	0.6521284892
1	0.6187579067
2	0.5898178694
3	0.5624022853
4	0.5536067269
5	0.5347236376
6	0.5180620159
7	0.5001526739
8	0.4844584284
9	0.4735465093
10	0.462162377
11	0.4543604138
12	0.4482399026
13	0.4423058028
14	0.4341862669
15	0.429444212
16	0.4258222317
17	0.420011419
18	0.4173063595
19	0.4117146975
20	0.4061617747
21	0.4025607705
22	0.3982426391
23	0.3970871962
24	0.3952198898
25	0.3931097117
26	0.3895409702
27	0.3871971097
28	0.3845715672
29	0.3825343002
30	0.3798205237
31	0.3779465596
32	0.3770476954
33	0.3754038697
34	0.3737599124
35	0.370779242
36	0.3673080367
37	0.3652000175
38	0.3616407093
39	0.3594684633
40	0.3582547253
41	0.3567677995
42	0.3556619042
43	0.3533775545
44	0.3524857289
45	0.3506868246
46	0.3477125863
47	0.3445719159
48	0.343396664
49	0.3426535358
50	0.3397601528
51	0.3395268847
52	0.3369852611
53	0.3368095736
54	0.3358577463
55	0.3338746948
56	0.3289909225
57	0.3267321284
58	0.3266770184
59	0.326540251
60	0.3263818251
61	0.3262718151
62	0.3262263582
63	0.3261695482
64	0.3237653661
65	0.3201158819
66	0.3187585998
67	0.317722235
68	0.3158431298
69	0.3123930101
70	0.3122398043
71	0.3110398163
72	0.3085546802
73	0.3084220865
74	0.3068374989
75	0.3057590801
76	0.3039826845
77	0.3021321845
78	0.2996270964
79	0.2996169956
80	0.2983227741
81	0.2962771297
82	0.2940975402
83	0.2926728378
84	0.291597476
85	0.289560517
86	0.2874738284
87	0.2866781942
88	0.2844554554
89	0.2834833167
90	0.2818131401
91	0.2806573922
92	0.2787211302
93	0.2760537742
94	0.2747494212
95	0.274713045
96	0.2743404347
97	0.2732460023
98	0.2717032618
99	0.2693203869
100	0.2673892454
101	0.2659404144
102	0.2639962477
103	0.2629902828
104	0.2603880845
105	0.2591640697
106	0.2582242623
107	0.2574563928
108	0.2560399456
109	0.2551468673
110	0.2549428731
111	0.2540722027
112	0.2531220376
113	0.2522854826
114	0.2511140454
115	0.2500565393
116	0.2487806656
117	0.2469569849
118	0.2447844363
119	0.2439524663
120	0.2423524881
121	0.2418373439
122	0.240682512
123	0.2399361305
124	0.2386211574
125	0.2374418069
126	0.2373889069
127	0.236698085
128	0.2363650997
129	0.2349974727
130	0.2349739746
131	0.2338991241
132	0.2320702356
133	0.2295378036
134	0.2281356589
135	0.2277440943
136	0.2264420742
137	0.2256395328
138	0.2243496303
139	0.2236884387
140	0.2223882595
141	0.2212066962
142	0.2203974652
143	0.2190273024
144	0.2175273825
145	0.2161685223
146	0.2157809093
147	0.2136941067
148	0.2130719788
149	0.2123093424
150	0.2113712802
151	0.2102973109
152	0.2090337339
153	0.2082387171
154	0.2077285113
155	0.2065838626
156	0.2055964337
157	0.2049306129
158	0.2049295422
159	0.2043322287
160	0.2034480836
161	0.2025836209
162	0.2018885237
163	0.2014301483
164	0.2007171899
165	0.2003285652
166	0.1996753058
167	0.1980879506
168	0.1964141185
169	0.1960442682
170	0.1954472747
171	0.1943174029
172	0.1939038152
173	0.1927920476
174	0.1919905093
175	0.1913336314
176	0.1901474001
177	0.1888447203
178	0.1880833002
179	0.1875363529
180	0.1857249229
181	0.1850812128
182	0.1843518013
183	0.1838039298
184	0.1837518934
185	0.1828608289
186	0.1815349556
187	0.1806944429
188	0.1800484606
189	0.1794296271
190	0.1775005422
191	0.1753188721
192	0.1749047883
193	0.1742453072
194	0.1734415832
195	0.172169975
196	0.1709909913
197	0.1704265608
198	0.1701427188
199	0.1689931592
200	0.167612979
201	0.167151159
202	0.1653421461
203	0.1640027438
204	0.1632318581
205	0.1626646399
206	0.1617680215
207	0.1607632646
208	0.1597218154
209	0.1593970024
210	0.1588913617
211	0.1580976098
